suj,bloc,StimDiff,cue,attend,correct,rt
sub002,late,0.04,pre,second,1,0.518716096878052
sub002,late,0.04,retro,first,1,0.366960048675537
sub002,late,0.04,retro,second,0,0.404171943664551
sub002,late,0.04,pre,second,0,0.678725004196167
sub002,late,0.04,pre,first,0,1.11339807510376
sub002,late,0.04,retro,first,0,0.705693960189819
sub002,late,0.04,retro,second,1,0.457734107971191
sub002,early,0.04,retro,first,1,0.40408992767334
sub002,early,0.04,pre,second,1,0.465248823165894
sub002,early,0.04,retro,second,1,0.36150598526001
sub002,early,0.04,pre,second,0,0.345139980316162
sub002,early,0.04,pre,first,0,0.336808919906616
sub002,early,0.04,pre,second,1,0.698808908462524
sub002,early,0.04,pre,first,0,0.456922054290771
sub002,early,0.04,retro,second,1,0.457483053207397
sub002,early,0.04,pre,first,0,0.598164081573486
sub002,early,0.04,pre,first,1,0.599056959152222
sub002,early,0.04,retro,first,0,0.375961065292358
sub002,early,0.04,pre,second,0,0.457427024841309
sub002,early,0.04,pre,first,1,0.377640008926392
sub002,early,0.04,pre,first,1,0.538578033447266
sub002,early,0.04,retro,second,1,0.577572107315063
sub002,early,0.04,retro,second,1,1.00867509841919
sub002,early,0.04,pre,second,0,0.64338207244873
sub002,early,0.04,retro,first,1,0.344752073287964
sub002,early,0.04,retro,second,1,0.421270132064819
sub002,early,0.04,pre,first,1,0.387744903564453
sub002,early,0.04,retro,first,1,0.418795108795166
sub002,early,0.04,retro,second,1,0.518496036529541
sub002,early,0.04,retro,second,1,0.397171020507812
sub002,early,0.04,retro,first,0,0.906254053115845
sub002,early,0.04,retro,first,1,0.485965967178345
sub002,early,0.04,pre,first,1,0.637877941131592
sub002,early,0.04,pre,second,1,0.778573989868164
sub002,early,0.04,retro,first,1,0.383883953094482
sub002,early,0.04,retro,first,1,0.4776930809021
sub002,early,0.04,retro,second,0,0.382771015167236
sub002,early,0.04,pre,second,1,0.357641935348511
sub002,early,0.04,pre,second,0,0.942703008651733
sub002,jittered,0.04,retro,second,1,0.494333982467651
sub002,jittered,0.04,pre,second,0,0.336413860321045
sub002,jittered,0.04,pre,second,1,0.34980297088623
sub002,jittered,0.04,pre,first,1,0.443588018417358
sub002,jittered,0.04,retro,first,1,0.364800930023193
sub002,jittered,0.04,pre,first,1,0.337982892990112
sub002,jittered,0.04,pre,first,0,1.503741979599
sub002,jittered,0.04,pre,second,1,0.385546922683716
sub002,jittered,0.04,retro,first,1,0.417625904083252
sub002,jittered,0.04,retro,first,1,0.317011117935181
sub002,jittered,0.04,retro,second,1,0.42896294593811
sub002,jittered,0.04,pre,first,1,0.458656072616577
sub002,jittered,0.04,retro,first,1,0.397070169448853
sub002,jittered,0.04,pre,second,0,0.437658071517944
sub002,jittered,0.04,retro,first,1,0.531253099441528
sub002,jittered,0.04,pre,first,1,0.400788068771362
sub002,jittered,0.04,pre,first,1,0.887743234634399
sub002,jittered,0.04,pre,second,0,0.41782283782959
sub002,jittered,0.04,pre,first,0,0.459788084030151
sub002,jittered,0.04,retro,second,1,0.425705194473267
sub002,jittered,0.04,retro,first,1,0.647425174713135
sub002,jittered,0.04,pre,second,1,0.727701902389526
sub002,jittered,0.04,pre,first,1,0.378194093704224
sub002,jittered,0.04,retro,second,1,0.518117904663086
sub002,jittered,0.04,retro,second,1,0.357523918151855
sub002,jittered,0.04,retro,first,1,0.4375319480896
sub002,jittered,0.04,retro,second,1,0.398722887039185
sub002,jittered,0.04,retro,second,1,0.429973125457764
sub002,jittered,0.04,retro,first,0,0.389714956283569
sub002,jittered,0.04,pre,second,1,1.02001404762268
sub002,jittered,0.04,retro,second,0,0.477712154388428
sub002,jittered,0.04,pre,second,1,0.739156007766724
sub002,jittered,0.04,retro,first,0,0.500463962554932
sub002,jittered,0.04,pre,second,1,0.401786088943481
sub002,jittered,0.04,retro,second,0,0.706472873687744
sub002,jittered,0.04,retro,first,1,0.424476146697998
sub002,jittered,0.04,retro,first,1,0.378093004226685
sub002,jittered,0.04,pre,first,0,0.404171943664551
sub002,jittered,0.04,retro,second,0,0.477632999420166
sub002,jittered,0.04,retro,second,1,0.347815990447998
sub002,jittered,0.04,pre,first,0,0.399496078491211
sub002,jittered,0.04,pre,second,1,0.666424989700317
