suj,bloc,cue,attend,correct,rt
p002,late,pre,first,1,0.555869817733765
p002,late,retro,second,1,0.874190807342529
p002,late,retro,first,1,0.393378019332886
p002,late,pre,first,1,0.566497087478638
p002,late,pre,second,1,1.31527805328369
p002,late,pre,second,1,0.52505898475647
p002,late,retro,second,1,0.519484996795654
p002,late,pre,first,1,0.389981985092163
p002,jittered,pre,first,1,0.485610008239746
p002,jittered,pre,first,1,0.763814926147461
p002,jittered,pre,first,1,0.522998094558716
p002,jittered,pre,second,1,0.44643497467041
p002,jittered,retro,first,1,0.527882099151611
p002,jittered,retro,first,1,0.703742027282715
p002,jittered,retro,first,1,0.659371137619019
p002,jittered,pre,second,0,0.40437388420105
p002,jittered,pre,first,1,1.0218939781189
p002,jittered,retro,second,1,0.430602073669434
p002,jittered,retro,first,0,0.368584156036377
p002,jittered,retro,second,1,0.43894100189209
p002,jittered,pre,second,1,0.611582040786743
p002,jittered,pre,second,1,1.12931990623474
p002,jittered,pre,second,1,0.645299911499023
p002,jittered,retro,second,1,0.72792387008667
p002,jittered,pre,second,1,1.23259902000427
p002,jittered,retro,second,0,0.871145009994507
p002,jittered,pre,second,1,0.519261121749878
p002,jittered,retro,first,1,0.448460817337036
p002,jittered,retro,first,1,0.3730628490448
p002,jittered,pre,first,1,0.565170049667358
p002,jittered,pre,first,1,0.40503191947937
p002,jittered,retro,second,1,0.714986085891724
p002,jittered,retro,second,1,0.396919012069702
p002,jittered,pre,second,1,0.440687894821167
p002,jittered,retro,second,1,0.379757881164551
p002,jittered,retro,first,1,0.440634965896606
p002,jittered,retro,first,1,0.410734176635742
p002,jittered,pre,first,1,0.653162956237793
p002,jittered,pre,first,1,0.478051900863647
p002,jittered,retro,second,1,0.498162984848022
p002,early,retro,first,1,0.519024133682251
p002,early,retro,second,1,0.460338830947876
p002,early,pre,second,1,0.439158916473389
p002,early,retro,second,1,0.694615125656128
p002,early,retro,second,1,0.446547031402588
p002,early,retro,second,1,0.425538063049316
p002,early,retro,second,1,0.528928995132446
p002,early,pre,first,1,0.389345169067383
p002,early,retro,first,1,0.408807039260864
p002,early,pre,second,1,0.442609071731567
p002,early,pre,second,1,0.448058128356934
p002,early,retro,second,1,0.417325973510742
p002,early,pre,first,1,0.586683034896851
p002,early,retro,second,1,0.514062166213989
p002,early,pre,first,1,0.398896932601929
p002,early,retro,first,1,1.39547896385193
p002,early,retro,first,1,0.463644027709961
p002,early,retro,first,1,0.353402853012085
p002,early,pre,first,1,0.413445949554443
p002,early,retro,second,1,0.364114046096802
p002,early,pre,second,1,0.452905893325806
p002,early,pre,second,1,0.396929025650024
p002,early,pre,second,1,1.45357799530029
p002,early,pre,second,1,0.482431888580322
p002,early,pre,first,1,0.361045837402344
p002,early,pre,first,1,1.2523090839386
p002,early,pre,first,1,0.423320055007935
p002,early,retro,first,1,0.553505897521973
p002,early,retro,first,1,0.388427019119263
p002,early,retro,first,1,0.405586957931519
p002,early,pre,second,1,0.397433996200562
p002,early,pre,first,1,0.346343994140625
p002,jittered,pre,first,1,0.519627094268799
p002,jittered,retro,second,1,0.401848077774048
p002,jittered,retro,first,1,0.396909952163696
p002,jittered,pre,second,1,0.542737007141113
p002,jittered,retro,first,1,0.471827030181885
p002,jittered,pre,second,1,0.424064874649048
p002,jittered,pre,second,1,0.694947004318237
p002,jittered,retro,second,1,0.758225917816162
p002,jittered,pre,first,1,0.560003995895386
p002,jittered,retro,first,1,0.418182849884033
p002,jittered,pre,second,1,0.473299980163574
p002,jittered,retro,first,1,0.42595100402832
p002,jittered,retro,second,1,0.522871971130371
p002,jittered,pre,second,1,0.47796106338501
p002,jittered,pre,second,1,0.581699848175049
p002,jittered,retro,second,1,0.429576873779297
p002,jittered,retro,second,1,0.767527103424072
p002,jittered,retro,second,1,0.506366968154907
p002,jittered,retro,first,1,0.838675975799561
p002,jittered,pre,first,1,0.767513036727905
p002,jittered,pre,first,1,0.447256088256836
p002,jittered,retro,second,1,0.510549068450928
p002,jittered,pre,second,1,0.496693134307861
p002,jittered,retro,first,1,0.384178161621094
p002,jittered,retro,first,1,0.423234939575195
p002,jittered,pre,first,1,0.426712989807129
p002,jittered,retro,first,1,0.410676002502441
p002,jittered,pre,second,0,0.450793027877808
p002,jittered,pre,first,1,0.567322969436646
p002,jittered,pre,first,1,0.454319000244141
p002,jittered,pre,first,1,0.458648920059204
p002,jittered,retro,second,1,0.448569059371948
p003,jittered,retro,second,1,0.986971855163574
p003,jittered,retro,second,1,0.457573175430298
p003,jittered,pre,second,1,0.437274932861328
p003,jittered,pre,second,1,0.423406839370728
p003,jittered,retro,second,1,0.39718222618103
p003,jittered,pre,first,1,0.554117918014526
p003,jittered,retro,first,1,0.478190898895264
p003,jittered,pre,second,1,0.359281063079834
p003,jittered,pre,second,0,0.37984299659729
p003,jittered,pre,second,1,0.613010168075562
p003,jittered,pre,first,1,0.672653913497925
p003,jittered,pre,second,1,0.43785285949707
p003,jittered,pre,second,1,0.418883800506592
p003,jittered,retro,first,1,0.482615947723389
p003,jittered,retro,first,1,0.457998991012573
p003,jittered,retro,second,1,0.501200914382935
p003,jittered,pre,first,1,0.390216112136841
p003,jittered,retro,first,1,0.597702980041504
p003,jittered,pre,first,1,0.5520339012146
p003,jittered,retro,first,1,0.445023059844971
p003,jittered,retro,first,1,0.48347806930542
p003,jittered,retro,second,1,0.422683000564575
p003,jittered,retro,second,1,0.529636144638062
p003,jittered,retro,second,1,0.517602920532227
p003,jittered,pre,first,1,0.449949026107788
p003,jittered,pre,first,1,0.511046171188354
p003,jittered,pre,first,1,0.425687074661255
p003,jittered,pre,first,1,1.15036487579346
p003,jittered,retro,first,1,0.598002910614014
p003,jittered,retro,second,1,0.399883031845093
p003,jittered,pre,second,1,0.403164863586426
p003,jittered,retro,first,1,0.521836042404175
p003,jittered,retro,first,1,0.461066007614136
p003,jittered,pre,second,1,0.433974027633667
p003,jittered,pre,second,0,0.520864963531494
p003,jittered,pre,second,0,0.586102962493896
p003,jittered,retro,first,0,0.856897115707397
p003,jittered,retro,second,0,0.585274934768677
p003,jittered,retro,first,0,0.73991584777832
p003,jittered,pre,first,1,0.54957914352417
p003,jittered,retro,second,1,0.562763929367065
p003,jittered,pre,first,1,0.569420099258423
p003,jittered,pre,second,1,0.412679195404053
p003,jittered,pre,first,1,0.570554971694946
p003,jittered,retro,second,1,0.670403003692627
p003,jittered,retro,second,1,0.5330810546875
p003,jittered,retro,second,1,0.457283973693848
p003,jittered,retro,second,0,0.730484008789062
p003,jittered,retro,first,1,0.531846046447754
p003,jittered,pre,first,1,0.420218944549561
p003,jittered,pre,first,1,0.517644166946411
p003,jittered,pre,second,1,0.450680017471313
p003,jittered,retro,first,1,0.423712968826294
p003,jittered,retro,second,1,0.424959897994995
p003,jittered,pre,second,1,0.408154964447021
p003,jittered,pre,second,1,0.500303983688354
p003,jittered,retro,second,1,0.464349985122681
p003,jittered,retro,first,1,0.428499937057495
p003,jittered,retro,first,1,0.669031143188477
p003,jittered,pre,first,1,0.712667942047119
p003,jittered,retro,first,1,0.644862174987793
p003,jittered,pre,second,1,0.402752876281738
p003,jittered,pre,first,1,0.412137031555176
p003,jittered,pre,first,1,0.676149129867554
p003,late,retro,second,1,0.401165962219238
p003,late,retro,second,1,0.432188987731934
p003,late,pre,second,1,0.444040060043335
p003,late,retro,first,1,0.522438049316406
p003,late,pre,second,1,0.350033044815063
p003,late,pre,second,1,0.412312984466553
p003,late,retro,second,1,0.368699073791504
p003,late,retro,first,1,0.428925037384033
p003,late,pre,second,1,0.414330959320068
p003,late,retro,first,1,0.509330034255981
p003,late,pre,first,1,0.429601907730103
p003,late,retro,second,1,0.51813817024231
p003,late,pre,second,1,0.518029928207397
p003,late,pre,first,1,0.452695846557617
p003,late,retro,second,1,0.609699964523315
p003,late,retro,first,1,0.384552001953125
p003,late,retro,second,1,0.704551935195923
p003,late,retro,second,1,0.365186929702759
p003,late,pre,first,1,0.385083198547363
p003,late,retro,first,1,0.377161026000977
p003,late,pre,second,1,0.37000298500061
p003,late,retro,first,1,0.634122848510742
p003,late,retro,first,1,0.449742078781128
p003,late,pre,first,1,0.559099912643433
p003,late,pre,first,1,1.15565991401672
p003,late,pre,second,1,0.531874895095825
p003,late,pre,second,1,0.518835783004761
p003,late,pre,first,1,0.647385120391846
p003,late,retro,first,0,0.602158069610596
p003,late,pre,first,1,0.430382013320923
p003,late,retro,second,1,0.41088604927063
p003,late,pre,first,1,0.570763111114502
p003,early,pre,first,1,0.406414985656738
p003,early,retro,second,1,0.444939136505127
p003,early,retro,second,1,0.422001123428345
p003,early,retro,first,1,0.559338092803955
p003,early,retro,second,1,0.384665966033936
p003,early,pre,first,1,0.551591157913208
p003,early,retro,first,1,0.537424087524414
p003,early,retro,second,1,0.482496023178101
p003,early,pre,first,1,0.564503908157349
p003,early,retro,first,1,0.360803127288818
p003,early,pre,second,1,1.04534411430359
p003,early,retro,first,1,0.364498853683472
p003,early,retro,second,1,0.490036964416504
p003,early,retro,first,1,0.551023006439209
p003,early,retro,first,1,0.485676050186157
p003,early,pre,second,1,0.449803113937378
p003,early,pre,second,0,0.557576894760132
p003,early,retro,second,1,0.531258106231689
p003,early,pre,second,1,0.422399997711182
p003,early,pre,second,1,0.505429029464722
p003,early,pre,first,1,0.477524995803833
p003,early,pre,second,1,0.670212030410767
p003,early,retro,second,1,0.482213973999023
p003,early,pre,second,1,0.372512102127075
p003,early,pre,first,1,0.387017011642456
p003,early,pre,second,1,0.452749967575073
p003,early,retro,second,1,0.463255167007446
p003,early,pre,first,1,0.642884016036987
p003,early,pre,first,1,0.437863826751709
p003,early,pre,first,1,0.38909912109375
p003,early,retro,first,1,0.666953802108765
p003,early,retro,first,1,0.679888963699341
p004,jittered,pre,second,0,1.77832698822021
p004,jittered,retro,second,0,0.963913917541504
p004,jittered,retro,first,1,0.424926042556763
p004,jittered,pre,first,1,0.36453104019165
p004,jittered,retro,second,1,0.639944076538086
p004,jittered,retro,first,1,0.272481918334961
p004,jittered,retro,first,0,0.325083017349243
p004,jittered,retro,second,1,0.672574043273926
p004,jittered,retro,second,1,0.498093128204346
p004,jittered,pre,first,0,2.13350892066956
p004,jittered,retro,second,0,0.612560033798218
p004,jittered,pre,second,1,0.472240924835205
p004,jittered,retro,first,1,0.397250175476074
p004,jittered,retro,second,1,0.445284843444824
p004,jittered,pre,second,1,0.570421934127808
p004,jittered,retro,second,1,0.426268100738525
p004,jittered,retro,first,1,0.561308145523071
p004,jittered,pre,second,1,0.468245029449463
p004,jittered,pre,first,1,0.672374963760376
p004,jittered,retro,first,1,0.41750693321228
p004,jittered,pre,second,1,0.740164041519165
p004,jittered,pre,first,1,0.752063035964966
p004,jittered,retro,first,1,0.367163896560669
p004,jittered,pre,second,1,0.756393909454346
p004,jittered,pre,first,1,0.60851788520813
p004,jittered,pre,first,1,0.404538869857788
p004,jittered,pre,second,1,0.514721870422363
p004,jittered,pre,second,1,0.565157890319824
p004,jittered,pre,first,1,0.666421890258789
p004,jittered,retro,first,1,0.478188037872314
p004,jittered,pre,first,1,0.718149185180664
p004,jittered,retro,second,1,1.2736918926239
p004,early,retro,second,1,0.369086980819702
p004,early,pre,first,1,0.436450004577637
p004,early,retro,first,1,0.436572074890137
